gene,f_score,p_value
ENSG00000116194.13,290.2335125552213,5.74301574294606e-51
ENSG00000203878.11,289.6740825175304,6.828754640918884e-51
ENSG00000198948.12,288.65467676366455,9.365256657177287e-51
ENSG00000105339.11,288.49903024248084,9.828357982518541e-51
ENSG00000267107.8,288.4339021770177,1.0028897881674728e-50
ENSG00000107242.20,288.3876298609947,1.0173870210353688e-50
ENSG00000123178.15,287.4228653493208,1.3725555628668098e-50
ENSG00000184113.9,287.31282029677624,1.4202798438735838e-50
ENSG00000272789.1,286.84333571004,1.6433395479418685e-50
ENSG00000099260.11,284.6859416386682,3.2163551385785854e-50
ENSG00000128050.9,280.7426063744217,1.1030974700688384e-49
ENSG00000135052.16,280.55733206859446,1.1690475460005621e-49
ENSG00000096063.16,279.8743274215695,1.4482804651553658e-49
ENSG00000066056.14,279.7108680509422,1.5245000353174064e-49
ENSG00000157927.17,278.6490001716239,2.127889854190724e-49
ENSG00000165757.9,278.42534252906006,2.2828584850457506e-49
ENSG00000125810.10,278.0752906288107,2.5484759854488896e-49
ENSG00000071282.12,277.79848536872834,2.780327234244655e-49
ENSG00000144655.15,277.5274702938478,3.027847593403381e-49
ENSG00000197852.12,277.4046344556134,3.147210364568145e-49
ENSG00000080618.17,276.4324673612227,4.2748470450070285e-49
ENSG00000177469.13,276.00421247889733,4.892857834114491e-49
ENSG00000070614.15,275.79192533418126,5.231717199233883e-49
ENSG00000178726.7,275.0879405798703,6.533482019204534e-49
ENSG00000183807.8,272.3640070667269,1.5467043040841854e-48
ENSG00000184905.9,272.1090969411205,1.6768824070815604e-48
ENSG00000163145.13,271.75163577987126,1.878181053322048e-48
ENSG00000118729.12,270.9928194855498,2.3896410033876286e-48
ENSG00000122694.16,270.98771617118695,2.3935167434497542e-48
ENSG00000174175.17,270.7087391676452,2.6152801820282192e-48
ENSG00000079308.19,269.9658521376663,3.3117907080096964e-48
ENSG00000141469.18,269.7545560790336,3.541997694265039e-48
ENSG00000153902.14,269.4941970656288,3.8478855090072084e-48
ENSG00000196549.12,268.3064916537745,5.616823554862141e-48
ENSG00000164466.13,268.18272903035376,5.842833393316869e-48
ENSG00000135111.16,267.6682388897204,6.884568075106642e-48
ENSG00000197471.12,267.1146132271128,8.214974150199688e-48
ENSG00000105971.15,266.06543434013884,1.1486220611975523e-47
ENSG00000124019.10,265.72397610076064,1.2811471849884608e-47
ENSG00000174837.15,265.40212405835985,1.420098355379396e-47
ENSG00000158435.8,265.1321994527029,1.5482394411263923e-47
ENSG00000173517.10,264.7204373467319,1.766445583167497e-47
ENSG00000110756.18,263.8264231383834,2.35255318183184e-47
ENSG00000111897.7,263.6940032637625,2.4546198795030184e-47
ENSG00000165072.10,263.6712893352221,2.47256897313388e-47
ENSG00000113070.8,263.44712080809165,2.656939006951204e-47
ENSG00000118777.12,263.04602426103514,3.021969837224075e-47
ENSG00000102935.12,262.151774237229,4.0276410523402897e-47
ENSG00000197381.16,261.89814234875416,4.3698262308208906e-47
ENSG00000147655.12,261.79199144978446,4.521569451814307e-47
ENSG00000244734.4,260.6044430151275,6.626606239588223e-47
ENSG00000182950.3,260.09882794036054,7.799232957832607e-47
ENSG00000133401.16,258.86521581976456,1.1611933179735114e-46
ENSG00000144120.13,258.63668686840583,1.2501392513484528e-46
